"state","gunLawsStrengthRank","gunLawsGiffordGrade","gunLawsGunDeathRatePer100k","gunLawsGunDeathRateRank"
"California",1,"A",9,43
"New Jersey",2,"A",5.2,48
"Connecticut",3,"A-",6.7,45
"New York",4,"A-",5.4,47
"Hawaii",5,"A-",4.8,49
"Massachusetts",6,"A-",3.4,50
"Maryland",7,"A-",15.2,29
"Illinois",8,"A-",16.1,26
"Rhode Island",9,"B+",5.6,46
"Washington",10,"B+",11.2,39
"Oregon",11,"B+",14.9,30
"Virginia",12,"B",14.3,32
"Delaware",13,"B",16.6,23
"Colorado",14,"B",17.8,18
"Pennsylvania",15,"B-",14.8,31
"Michigan",16,"C+",15.4,28
"Nevada",17,"C+",19.8,15
"Minnesota",18,"C+",10,42
"New Mexico",18,"C+",27.8,3
"Nebraska",20,"C",10.3,41
"North Carolina",21,"C",17.3,21
"Vermont",22,"C-",11.9,38
"Florida",23,"C-",14.1,34
"Wisconsin",24,"D+",13.5,36
"Ohio",25,"F",16.5,24
"New Hampshire",26,"F",8.3,44
"Maine",27,"F",12.6,37
"South Carolina",28,"F",22.4,11
"Indiana",29,"F",18.4,16
"Texas",30,"F",15.6,27
"Utah",30,"F",13.9,35
"Iowa",32,"F",11.2,40
"Louisiana",32,"F",29.1,2
"Georgia",34,"F",20.3,14
"Oklahoma",34,"F",21.2,12
"West Virginia",36,"F",17.3,19
"North Dakota",37,"F",16.8,22
"Alabama",38,"F",26.4,4
"Tennessee",38,"F",22.8,10
"Montana",40,"F",25.1,7
"Alaska",41,"F",25.2,6
"Arizona",42,"F",18.3,17
"Kentucky",43,"F",21.1,13
"South Dakota",44,"F",14.3,33
"Kansas",45,"F",17.3,20
"Mississippi",45,"F",33.9,1
"Missouri",47,"F",23.2,9
"Idaho",48,"F",16.3,25
"Wyoming",49,"F",26.1,5
"Arkansas",50,"F",23.3,8